1,THEOGNIS,"2, 3, 5, 7, 18 ","2, 3, 5, 7, 18 ",
2,PINDAR,"1, 3, 4, 5, 7, 8, 12, 18","4, 8, 5, 18, 7, 12, 3",
3,HERODOTUS,"1, 2, 4, 6, 7, 8, 10, 12, 14, 21, 22, 23","4, 6, 7, 12, 10, 23","8, 14, 21, 22 "
4,ANTIPHON,"2, 3, 5, 8",5,8
5,EURIPIDES 1,"1, 2, 4, 18, 20",18,20
6,EURIPIDES 2,"3, 9",9,
7,HIPPIAS OF HELIS,"1, 2, 3, 13",13,
8,THUCYDIDES,"1, 2, 4, 11, 19, 20","19, 20, 11",
9,LYSIAS 1,"6, 13",13,
10,LYSIAS 2,"3, 16, 21, 22",16," 21, 22"
11,ISOCRATES 1,8,,
12,ISOCRATES 2,"2, 3, 20",20,
13,ISOCRATES 3,"7, 9, 14, 16, 17, 18","18, 16, 17, 14",
14,ARISTOTLE,"3, 13",,
15,MENANDER 1,,,
16,MENANDER 2,"10, 13, 18, 20","18, 20",
17,MENANDER 3,17,,
18,CLEANTHES,"1, 2, 5, 13, 16, 19, 20",,"19, 20"
19,CHRYSIPPUS,"18, 12",,
20,PHILO OF ALEXANDRIA,"5, 8, 12, 16, 18",,
21,DIO CHRYSOSTOM 1,"3, 10",,
22,DIO CHRYSOSTOM 2,"3, 10",,
23,LUCIAN 1,3,,
24,LUCIAN 2,,,
25,LUCIAN 3,,,
26,LUCIAN 4,,,
